"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Clinton, IA","17540",2019,272,201,71,0,0,0,0,89,61,43,0,0,140,0,132,0
"Coeur d'Alene, ID","17660",2019,180,173,7,0,0,0,0,75,38,21,0,0,0,0,180,0
"College Station-Bryan, TX","17780",2019,211,211,0,0,0,0,0,17,1,0,0,0,0,211,0,0
"Colorado Springs, CO","17820",2019,244,151,93,0,0,0,0,100,71,48,1,0,229,0,12,2
"Columbia, MO","17860",2019,122,118,4,0,0,0,0,71,48,42,0,0,122,0,0,0
"Columbia, SC","17900",2019,274,189,83,2,0,0,0,136,67,45,1,0,210,0,63,0
"Columbus, GA-AL","17980",2019,273,191,82,0,0,0,0,90,63,44,0,0,114,0,159,0
"Columbus, IN","18020",2019,242,193,49,0,0,0,0,77,54,43,0,0,189,0,53,0
"Columbus, OH","18140",2019,244,159,84,1,0,0,0,101,68,47,1,4,143,0,95,1
"Concord, NH","18180",2019,181,178,3,0,0,0,0,72,44,33,0,0,117,64,0,0
"Cookeville, TN","18260",2019,181,177,4,0,0,0,0,63,42,23,0,0,0,0,181,0
"Coos Bay, OR","18300",2019,107,106,1,0,0,0,0,58,35,19,0,0,0,0,107,0
"Corning, NY","18500",2019,274,263,11,0,0,0,0,62,47,37,2,0,232,0,40,0
"Corpus Christi, TX","18580",2019,181,116,64,1,0,0,0,107,66,46,0,0,83,1,97,0
"Corsicana, TX","18620",2019,181,128,47,4,2,0,0,193,72,42,0,1,109,44,27,0
"Corvallis, OR","18700",2019,90,86,4,0,0,0,0,60,40,20,0,0,0,0,90,0
"Crescent City, CA","18860",2019,12,12,0,0,0,0,0,45,43,29,0,0,0,0,12,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2019,179,157,22,0,0,0,0,84,54,37,0,0,165,0,0,14
"Cullowhee, NC","19000",2019,50,48,2,0,0,0,0,62,49,21,0,0,0,0,50,0
"Cumberland, MD-WV","19060",2019,181,135,23,21,2,0,0,161,105,14,0,0,0,181,0,0
"Dallas-Fort Worth-Arlington, TX","19100",2019,182,96,76,10,0,0,0,133,87,49,1,3,98,0,80,0
"Dalton, GA","19140",2019,212,175,37,0,0,0,0,93,54,44,0,0,212,0,0,0
"Daphne-Fairhope-Foley, AL","19300",2019,166,140,26,0,0,0,0,80,54,40,0,0,139,0,27,0
